paymentGoodputSent:vector PCN.node9 (#0 - General-0-20250701-23:18:59-182200),,paymentGoodputSent:vector PCN.node7 (#0 - General-0-20250701-23:18:59-182200),,paymentGoodputSent:vector PCN.node4 (#0 - General-0-20250701-23:18:59-182200),,paymentGoodputSent:vector PCN.node8 (#0 - General-0-20250701-23:18:59-182200),,paymentGoodputSent:vector PCN.node5 (#0 - General-0-20250701-23:18:59-182200),
3095,0.956989247311829989,4145.5,0.93548387096773999,4371,0.96774193548386988,4091,0.83870967741934987,,
3095,0.957446808510640009,4174,0.936170212765959903,4525,0.968085106382979839,4122,0.840425531914889886,,
3196,0.957894736842110013,4174,0.936842105263159914,4525,0.968421052631579955,4219,0.842105263157890023,,
3196,0.958333333333329925,4174,0.9375,4738,0.96875,4219,0.84375,,
3211,0.958762886597939841,4174,0.938144329896909875,4749.5,0.969072164948449938,4219,0.84536082474226992,,
3253,0.959183673469389926,4271,0.938775510204080005,4791,0.96938775510204,4219,0.846938775510200022,,
3253,0.959595959595959998,4306,0.939393939393939888,4791,0.969696969696969941,4270,0.848484848484849948,,
3253,0.95999999999999996,4345.5,0.929999999999999931,4890,0.96999999999999997,4419.5,0.839999999999999853,,
3331,0.960396039603959912,4345.5,0.930693069306929961,4890,0.970297029702970044,4419.5,0.841584158415839885,,
3396,0.960784313725489887,4374,0.93137254901960986,4890,0.970588235294119968,4419.5,0.843137254901960006,,
3453,0.96116504854369,4374,0.93203883495145989,4890,0.970873786407769885,4559,0.834951456310679901,,
3495,0.961538461538459895,4434,0.932692307692309926,4890,0.971153846153850025,4559,0.836538461538459895,,
3495,0.961904761904760036,4434,0.933333333333330013,4890,0.97142857142856997,4559,0.828571428571429843,,
3495,0.962264150943400005,4434,0.933962264150939963,4890,0.971698113207549946,4559,0.830188679245279943,,
3505,0.962616822429909863,4537,0.934579439252339878,4938,0.97196261682243001,4559,0.822429906542059937,,
3566,0.962962962962959906,4537,0.93518518518519,4991,0.972222222222219875,4619.5,0.824074074074069959,,
3566,0.963302752293579973,4537,0.935779816513759851,4991,0.972477064220179871,4619.5,0.825688073394500006,,
3613,0.963636363636359845,4537,0.936363636363639835,5090.5,0.963636363636359845,4655,0.827272727272730042,,
3766.5,0.963963963963959888,4574,0.93693693693694002,5139,0.963963963963959888,4655,0.828828828828829907,,
3766.5,0.964285714285709968,4637,0.9375,5139,0.964285714285709968,4679,0.830357142857139903,,
3813.5,0.964601769911499923,4637,0.938053097345129978,5191,0.964601769911499923,4698,0.831858407079649972,,
3910,0.964912280701749831,4774,0.93859649122806998,5191,0.964912280701749831,4765,0.824561403508770048,,
3910,0.96521739130435002,4870.5,0.939130434782609931,5279,0.96521739130435002,4796,0.826086956521739909,,
3910,0.965517241379310048,4914,0.939655172413790038,5279,0.965517241379310048,4855,0.827586206896550043,,
3987,0.965811965811969926,4974,0.940170940170939935,5391.5,0.965811965811969926,4898.5,0.820512820512820037,,
4049.5,0.966101694915249883,4974,0.94067796610168996,5434.5,0.966101694915249883,4996.5,0.822033898305079888,,
4049.5,0.95798319327730996,5070.5,0.941176470588239941,5539.5,0.966386554621849964,5075.5,0.823529411764709836,,
4078.5,0.958333333333329925,5070.5,0.941666666666669978,5539.5,0.96666666666666989,5192.5,0.824999999999999951,,
4125,0.958677685950410025,5114,0.942148760330580032,5539.5,0.966942148760330016,5192.5,0.826446280991739886,,
4213.5,0.959016393442619903,5231,0.942622950819669953,5539.5,0.967213114754099873,5223.5,0.827868852459019863,,
4213.5,0.959349593495929961,5270.5,0.943089430894309851,5635,0.967479674796750008,5255.5,0.829268292682930004,,
4310.5,0.951612903225810043,5374.5,0.94354838709677002,5924,0.96774193548386988,5255.5,0.830645161290319841,,
4325,0.951999999999999953,5374.5,0.943999999999999945,,,5350,0.831999999999999847,,
4349,0.952380952380949881,5441.5,0.944444444444439975,,,5423.5,0.833333333333329925,,
4368,0.944881889763779843,5514.5,0.944881889763779843,,,5423.5,0.834645669291339983,,
4413.5,0.9453125,5514.5,0.9453125,,,5423.5,0.8359375,,
4479,0.945736434108529918,5724,0.945736434108529918,,,5423.5,0.837209302325579992,,
4525,0.946153846153849895,,,,,5624,0.83846153846153992,,
4525,0.946564885496179894,,,,,5840,0.839694656488549903,,
4525,0.946969696969699898,,,,,5892,0.840909090909089936,,
4588,0.947368421052629856,,,,,5892,0.842105263157890023,,
4741.5,0.947761194029850036,,,,,5935,0.843283582089549895,,
4749.5,0.948148148148149956,,,,,5960.5,0.844444444444439887,,
4775.5,0.948529411764709836,,,,,5960.5,0.845588235294119968,,
4860,0.948905109489049931,,,,,5960.5,0.846715328467150026,,
4860,0.949275362318839906,,,,,,,,
4860,0.949640287769780041,,,,,,,,
4860,0.94999999999999995,,,,,,,,
4925.5,0.950354609929080047,,,,,,,,
4965,0.950704225352109851,,,,,,,,
5060,0.951048951048949926,,,,,,,,
5060,0.951388888888889945,,,,,,,,
5092,0.951724137931029941,,,,,,,,
5163.5,0.952054794520549969,,,,,,,,
5260,0.952380952380949881,,,,,,,,
5260,0.952702702702699962,,,,,,,,
5460,0.95302013422818987,,,,,,,,
5460,0.953333333333330031,,,,,,,,
5460,0.953642384105960025,,,,,,,,
5460,0.953947368421049986,,,,,,,,
5660.5,0.954248366013069833,,,,,,,,
